DistrictSub-DistrictSex	Donotspeakreadorwrite	Speakonly	Readonly	Speakandreadonly	Speakreadandwrite	Donotspeakreadorwrite	Speakonly	Readonly	Speakandreadonly	Speakreadandwrite
LAUTEM	9712	1680	3415	528	9517	17488	621	3783	488	2472	12641	1450	3427	437	8097	19673	552	3607	384	1836
LOSPALOS	4087	748	1505	329	5634	8008	310	1988	316	1681	5264	724	1527	264	5043	8994	278	1906	274	1370
LAUTEM	2240	476	1050	149	1994	4219	218	1006	112	354	2918	465	1017	126	1560	4666	194	918	81	227
ILIOMAR	1498	230	375	14	712	2377	47	236	24	145	2107	130	408	15	492	2806	42	224	14	66
LURO	1339	165	182	22	535	1871	37	147	22	166	1596	91	185	14	405	2000	32	152	11	96
TUTUALA	548	61	303	14	642	1013	9	406	14	126	756	40	290	18	597	1207	6	407	4	77
MANUFAHI	9491	1348	3440	104	7070	15035	409	3989	107	1913	10009	1027	3211	97	5802	14656	300	3632	62	1496
SAME	5251	788	1574	59	4403	8300	271	2047	44	1413	5718	662	1399	49	3662	8331	199	1789	31	1140
ALAS	1523	131	566	6	867	2318	17	608	9	141	1593	78	572	4	689	2242	15	580	3	96
FATUBERLIU	1235	202	466	31	1184	2132	69	612	45	260	1306	145	453	33	959	2027	40	608	22	199
TURISCAI	1482	227	834	8	616	2285	52	722	9	99	1392	142	787	11	492	2056	46	655	6	61
MANATUTO	8623	1554	1898	205	5830	13247	483	2451	203	1726	9571	1304	1818	159	4703	13485	429	2182	154	1305
MANATUTO	1758	532	429	96	2257	3177	263	779	85	768	1943	532	389	71	1888	3190	240	732	63	598
LALEIA	597	148	121	13	500	1051	30	197	7	94	613	123	132	13	453	1019	28	189	7	91
LACLO	2062	207	284	26	648	2898	53	154	13	109	2140	177	263	27	522	2858	48	144	15	64
SOIBADA	544	95	265	10	372	879	26	271	10	100	559	77	275	13	366	891	33	259	6	101
BARIQUE/NATARBORA	702	178	303	25	1037	1347	33	557	56	252	881	117	265	15	691	1364	19	403	34	149
LACLUBAR	2960	394	496	35	1016	3895	78	493	32	403	3435	278	494	20	783	4163	61	455	29	302
OECUSSI	14950	1476	1985	222	7342	20466	222	2932	170	2185	17126	1050	2231	201	6186	22156	197	2844	111	1486
PANTEMACASAR	6892	947	1078	149	5353	10295	165	2116	112	1731	7896	705	1156	138	4615	11044	140	2058	89	1179
NITIBE	3315	142	359	31	790	4179	15	311	36	96	3680	97	421	24	574	4439	9	286	6	56
OESILO	2567	260	350	24	776	3332	26	382	15	222	2904	195	454	20	650	3637	27	388	13	158
PASSABE	2176	127	198	18	423	2660	16	123	7	136	2646	53	200	19	347	3036	21	112	3	93
VIQUEQUE	13327	2086	3435	308	10120	20948	646	4694	282	2706	16064	1948	3248	284	8275	22719	673	4203	238	1986
UATUCARBAU	1257	219	325	19	1149	2055	84	521	28	281	1550	191	352	14	1044	2297	72	518	22	242
OSSU	3185	581	752	53	1686	4527	220	830	53	627	3896	507	745	50	1430	5068	238	799	37	486
WATULARI	3117	443	966	53	2526	5108	92	1448	34	423	3849	414	874	35	2133	5587	103	1292	18	305
VIQUEQUE	4462	650	1039	166	4098	7273	221	1559	158	1204	5174	663	1000	174	3243	7677	234	1346	154	843
LACLUTA	1306	193	353	17	661	1985	29	336	9	171	1595	173	277	11	425	2090	26	248	7	110
