DistrictSub-District	tot_pop	tot_female	tot_male	_b_male	s_b_male	r_b_male	sr_b_male	srw_b_male	_e_male	s_e_male	r_e_male	sr_e_male	srw_e_male	_b_female	s_b_female	r_b_female	sr_b_female	srw_b_female	_e_female	s_e_female	r_e_female	sr_e_female	srw_e_female
PASSABE	6207	3265	2942	2176	127	198	18	423	2660	16	123	7	136	2646	53	200	19	347	3036	21	112	3	93
QUELICAI	14400	7359	7041	3388	603	942	73	2035	5150	159	1056	68	608	4191	585	891	75	1617	5766	191	921	49	432
RAILACO	8703	4226	4477	2255	417	454	23	1328	3330	95	549	25	478	2402	349	457	18	1000	3277	74	481	15	379
REMEXIO	8580	4180	4400	2364	212	857	43	924	3330	61	674	32	303	2448	196	838	26	672	3300	49	573	13	245
SAME	23565	11490	12075	5251	788	1574	59	4403	8300	271	2047	44	1413	5718	662	1399	49	3662	8331	199	1789	31	1140
SOIBADA	2576	1290	1286	544	95	265	10	372	879	26	271	10	100	559	77	275	13	366	891	33	259	6	101
SUAI	21752	10706	11046	3986	849	1414	64	4733	7146	246	2508	42	1104	4536	696	1366	74	4034	7386	222	2317	48	733
TILOMAR	5998	2986	3012	1383	182	452	8	987	2389	40	453	27	103	1513	173	429	12	859	2434	33	446	20	53
TURISCAI	5991	2824	3167	1482	227	834	8	616	2285	52	722	9	99	1392	142	787	11	492	2056	46	655	6	61
TUTUALA	3269	1701	1568	548	61	303	14	642	1013	9	406	14	126	756	40	290	18	597	1207	6	407	4	77
UATUCARBAU	6120	3151	2969	1257	219	325	19	1149	2055	84	521	28	281	1550	191	352	14	1044	2297	72	518	22	242
VEMASE	7692	3764	3928	1740	467	505	41	1175	3182	89	450	17	190	1884	402	420	30	1028	3144	86	399	16	119
VENILALE	13247	6593	6654	3073	610	881	77	2013	4468	259	1028	51	848	3395	527	840	58	1773	4547	251	979	37	779
VERACRUZ	28883	13770	15113	2267	954	937	140	10815	6137	834	3674	426	4042	2443	1024	799	140	9364	6236	752	3264	361	3157
VIQUEQUE	20669	10254	10415	4462	650	1039	166	4098	7273	221	1559	158	1204	5174	663	1000	174	3243	7677	234	1346	154	843
WATULARI	14410	7305	7105	3117	443	966	53	2526	5108	92	1448	34	423	3849	414	874	35	2133	5587	103	1292	18	305
ZUMALAI	10013	5027	4986	2408	587	600	34	1357	3977	170	613	25	201	2716	546	573	32	1160	4105	173	605	21	123
