sub_d	tot_pop	tot_female	tot_male	_b_male	s_b_male	r_b_male	sr_b_male	srw_b_male	_e_male	s_e_male	r_e_male	sr_e_male	srw_e_male	_b_female	s_b_female	r_b_female	sr_b_female	srw_b_female	_e_female	s_e_female	r_e_female	sr_e_female	srw_e_female	_t_male	s_t_male	r_t_male	sr_t_male	srw_t_male	_p_male	s_p_male	r_p_male	sr_p_male	srw_p_male	_t_female	s_t_female	r_t_female	sr_t_female	srw_t_female	_p_female	s_p_female	r_p_female	sr_p_female	srw_p_female
OSSU	12885	6628	6257	3185	581	752	53	1686	4527	220	830	53	627	3896	507	745	50	1430	5068	238	799	37	486	1800	1185	156	74	3042	3168	311	895	71	1812	2286	1351	160	67	2764	3908	297	881	67	1475
PANTEMACASAR	28929	14510	14419	6892	947	1078	149	5353	10295	165	2116	112	1731	7896	705	1156	138	4615	11044	140	2058	89	1179	5939	1325	811	176	6168	7948	386	2332	183	3570	7106	990	1036	152	5226	8819	302	2421	172	2796
PASSABE	6207	3265	2942	2176	127	198	18	423	2660	16	123	7	136	2646	53	200	19	347	3036	21	112	3	93	2071	179	173	27	492	2271	51	249	20	351	2554	87	198	20	406	2671	39	289	19	247
QUELICAI	14400	7359	7041	3388	603	942	73	2035	5150	159	1056	68	608	4191	585	891	75	1617	5766	191	921	49	432	2348	925	350	77	3341	3497	258	988	110	2188	3089	963	347	80	2880	4317	239	1039	88	1676
RAILACO	8703	4226	4477	2255	417	454	23	1328	3330	95	549	25	478	2402	349	457	18	1000	3277	74	481	15	379	76	1864	43	44	2450	2388	248	794	59	988	94	1960	39	35	2098	2476	207	750	31	762
REMEXIO	8580	4180	4400	2364	212	857	43	924	3330	61	674	32	303	2448	196	838	26	672	3300	49	573	13	245	223	1951	29	39	2158	2347	156	936	74	887	228	1982	29	46	1895	2407	132	847	80	714
SAME	23565	11490	12075	5251	788	1574	59	4403	8300	271	2047	44	1413	5718	662	1399	49	3662	8331	199	1789	31	1140	515	4400	224	108	6828	5811	467	2722	131	2944	557	4793	194	84	5862	6215	349	2430	93	2403
SOIBADA	2576	1290	1286	544	95	265	10	372	879	26	271	10	100	559	77	275	13	366	891	33	259	6	101	89	356	34	16	791	499	67	402	29	289	104	351	32	12	791	526	69	378	19	298
SUAI	21752	10706	11046	3986	849	1414	64	4733	7146	246	2508	42	1104	4536	696	1366	74	4034	7386	222	2317	48	733	637	3334	270	106	6699	4640	486	3412	134	2374	690	3753	260	94	5909	5136	368	3302	100	1800
TILOMAR	5998	2986	3012	1383	182	452	8	987	2389	40	453	27	103	1513	173	429	12	859	2434	33	446	20	53	126	1172	63	33	1618	1654	77	1023	39	219	147	1266	56	32	1485	1764	78	960	37	147
TURISCAI	5991	2824	3167	1482	227	834	8	616	2285	52	722	9	99	1392	142	787	11	492	2056	46	655	6	61	271	1294	47	11	1544	1598	108	1048	17	396	245	1196	44	13	1326	1472	74	943	18	317
TUTUALA	3269	1701	1568	548	61	303	14	642	1013	9	406	14	126	756	40	290	18	597	1207	6	407	4	77	357	92	244	13	862	501	27	485	31	524	607	59	283	18	734	758	13	521	19	390
UATUCARBAU	6120	3151	2969	1257	219	325	19	1149	2055	84	521	28	281	1550	191	352	14	1044	2297	72	518	22	242	434	762	116	15	1642	1453	85	546	25	860	578	837	128	22	1586	1734	77	568	22	750
VEMASE	7692	3764	3928	1740	467	505	41	1175	3182	89	450	17	190	1884	402	420	30	1028	3144	86	399	16	119	457	1434	173	70	1794	2270	197	869	69	523	549	1422	142	75	1576	2322	206	778	51	407
VENILALE	13247	6593	6654	3073	610	881	77	2013	4468	259	1028	51	848	3395	527	840	58	1773	4547	251	979	37	779	933	1764	111	75	3771	2904	385	965	96	2304	1118	1914	107	58	3396	3220	345	965	95	1968
VERACRUZ	28883	13770	15113	2267	954	937	140	10815	6137	834	3674	426	4042	2443	1024	799	140	9364	6236	752	3264	361	3157	393	1794	233	96	12597	3738	1088	3986	557	5744	340	1996	149	121	11164	3733	1018	3528	470	5021
VIQUEQUE	20669	10254	10415	4462	650	1039	166	4098	7273	221	1559	158	1204	5174	663	1000	174	3243	7677	234	1346	154	843	642	3490	140	100	6043	5182	336	2044	262	2591	824	4037	133	115	5145	5869	344	1823	241	1977
WATULARI	14410	7305	7105	3117	443	966	53	2526	5108	92	1448	34	423	3849	414	874	35	2133	5587	103	1292	18	305	1458	1517	305	75	3750	3499	200	2019	65	1322	2002	1691	262	70	3280	4290	134	1871	56	954
ZUMALAI	10013	5027	4986	2408	587	600	34	1357	3977	170	613	25	201	2716	546	573	32	1160	4105	173	605	21	123	360	2160	92	54	2320	2840	291	1152	32	671										
