DistrictSub-District	s_t_total	s_p_total	s_t_male	s_t_female	_t_male	_t_female	s_p_male	s_p_female	_p_male	_p_female		r_t_male	sr_t_male	r_t_female	sr_t_female	srw_t_female	srw_t_male	_p_male	r_p_male	sr_p_male	srw_p_male	r_p_female	sr_p_female	srw_p_female
LACLUBAR	5052	288	2383	2669	540	679	158	130	3030	3459		71	26	52	14	1596	1881	3030	673	42	998	601	29	791
LACLUTA	2333	127	1055	1278	218	263	76	51	1454	1716		45	20	38	13	889	1192	1454	534	21	445	400	17	297
LAGA	1623	439	812	811	2250	2612	233	206	3411	3735		243	111	201	105	2461	2715	3411	928	89	1470	883	87	1279
LALEIA	768	111	395	373	153	169	62	49	692	693		29	15	32	20	740	787	692	317	24	284	306	20	266
LAULARA	2565	170	1206	1359	83	96	95	75	1445	1591		61	33	58	21	1431	1784	1445	980	27	620	825	12	462
LAUTEM	1708	531	819	889	1493	2163	295	236	2542	3340		637	160	676	179	2179	2800	2542	1525	174	1373	1471	146	893
LETEFOHO	10185	544	4884	5301	591	691	320	224	5685	6199		97	85	112	77	2685	3453	5685	1607	83	1415	1335	62	1046
LIQUIÇA	7598	562	3524	4074	405	446	308	254	4330	4926		80	73	63	59	4145	4970	4330	2001	109	2304	1717	106	1784
LIQUIDOE	1916	220	971	945	248	276	134	86	1360	1374		44	12	54	14	1311	1549	1360	719	12	599	686	9	445
LOLOTOE	1799	325	819	980	277	401	186	139	1249	1574		148	85	162	71	1570	1602	1249	1006	116	374	1144	110	217
LOSPALOS	3125	912	1474	1651	2054	3297	505	407	4636	6167		710	292	704	316	6854	7773	4636	2544	442	4176	2492	434	3322
LURO	359	176	222	137	1067	1347	108	68	1287	1530		169	52	181	28	598	733	1287	235	41	572	236	39	418
MALIANA	7741	768	3595	4146	493	655	425	343	4655	5321		125	100	102	96	5623	6292	4655	2227	489	2809	2180	460	2318
MANATUTO	2801	634	1362	1439	374	409	328	306	2227	2311		78	45	87	38	2850	3213	2227	762	128	1627	748	101	1357
MAUBARA	6747	629	3255	3492	1391	1732	364	265	5112	5672		125	34	111	32	2359	3150	5112	1272	58	1149	1008	52	729
MAUBISSE	9924	1352	4885	5039	721	783	718	634	5326	5603		94	79	117	69	3057	3564	5326	1228	115	1956	1068	98	1662
MAUKATAR	2046	212	959	1087	277	323	126	86	1354	1537		60	35	32	31	1278	1409	1354	681	68	511	584	75	469
METINARO	1335	156	658	677	60	63	96	60	1133	1131		28	54	30	49	1103	1317	1133	327	74	487	298	55	378
NAINFETO	3043	1565	1443	1600	277	237	809	756	2635	2763		150	101	138	82	8766	9700	2635	3259	747	4221	2936	658	3710
NITIBE	320	130	219	101	3132	3535	80	50	3476	3764		303	35	398	43	719	948	3476	549	67	465	582	33	367
OESILO	592	184	351	241	2332	2702	111	73	2727	3028		339	35	453	36	791	920	2727	506	21	612	595	22	505
OSSU	2536	608	1185	1351	1800	2286	311	297	3168	3908		156	74	160	67	2764	3042	3168	895	71	1812	881	67	1475
PANTE MACASAR	2315	688	1325	990	5939	7106	386	302	7948	8819		811	176	1036	152	5226	6168	7948	2332	183	3570	2421	172	2796
PASSABE	266	90	179	87	2071	2554	51	39	2271	2671		173	27	198	20	406	492	2271	249	20	351	289	19	247
QUELICAI	1888	497	925	963	2348	3089	258	239	3497	4317		350	77	347	80	2880	3341	3497	988	110	2188	1039	88	1676
RAILACO	3824	455	1864	1960	76	94	248	207	2388	2476		43	44	39	35	2098	2450	2388	794	59	988	750	31	762
REMEXIO	3933	288	1951	1982	223	228	156	132	2347	2407		29	39	29	46	1895	2158	2347	936	74	887	847	80	714
SAME	9193	816	4400	4793	515	557	467	349	5811	6215		224	108	194	84	5862	6828	5811	2722	131	2944	2430	93	2403
SOIBADA	707	136	356	351	89	104	67	69	499	526		34	16	32	12	791	791	499	402	29	289	378	19	298
SUAI	7087	854	3334	3753	637	690	486	368	4640	5136		270	106	260	94	5909	6699	4640	3412	134	2374	3302	100	1800
TILOMAR	2438	155	1172	1266	126	147	77	78	1654	1764		63	33	56	32	1485	1618	1654	1023	39	219	960	37	147
TURISCAI	2490	182	1294	1196	271	245	108	74	1598	1472		47	11	44	13	1326	1544	1598	1048	17	396	943	18	317
TUTUALA	151	40	92	59	357	607	27	13	501	758		244	13	283	18	734	862	501	485	31	524	521	19	390
UATUCARBAU	1599	162	762	837	434	578	85	77	1453	1734		116	15	128	22	1586	1642	1453	546	25	860	568	22	750
VEMASE	2856	403	1434	1422	457	549	197	206	2270	2322		173	70	142	75	1576	1794	2270	869	69	523	778	51	407
VENILALE	3678	730	1764	1914	933	1118	385	345	2904	3220		111	75	107	58	3396	3771	2904	965	96	2304	965	95	1968
VERACRUZ	3790	2106	1794	1996	393	340	1088	1018	3738	3733		233	96	149	121	11164	12597	3738	3986	557	5744	3528	470	5021
VIQUEQUE	7527	680	3490	4037	642	824	336	344	5182	5869		140	100	133	115	5145	6043	5182	2044	262	2591	1823	241	1977
WATULARI	3208	334	1517	1691	1458	2002	200	134	3499	4290		305	75	262	70	3280	3750	3499	2019	65	1322	1871	56	954
ZUMALAI	2160	291	2160		360		291		2840			92	54				2320	2840	1152	32	671			
