DistrictSub-District	_t_male	s_t_male	r_t_male	sr_t_male	srw_t_male	_p_male	s_p_male	r_p_male	sr_p_male	srw_p_male	_t_female	s_t_female	r_t_female	sr_t_female	srw_t_female	_p_female	s_p_female	r_p_female	sr_p_female	srw_p_female
MANUFAHI	1015	7797	392	170	12079	10253	758	5544	245	4653	1021	8145	340	149	10491	10593	550	5073	194	3736
SAME	515	4400	224	108	6828	5811	467	2722	131	2944	557	4793	194	84	5862	6215	349	2430	93	2403
ALAS	131	1161	52	17	1732	1579	32	936	15	531	139	1169	49	12	1567	1588	35	912	15	386
FATUBERLIU	98	942	69	34	1975	1265	151	838	82	782	80	987	53	40	1736	1318	92	788	68	630
TURISCAI	271	1294	47	11	1544	1598	108	1048	17	396	245	1196	44	13	1326	1472	74	943	18	317
MANATUTO	1970	6210	292	158	9480	9415	809	3081	359	4446	2276	6606	288	137	8248	10187	698	2903	233	3534
MANATUTO	374	1362	78	45	3213	2227	328	762	128	1627	409	1439	87	38	2850	2311	306	748	101	1357
LALEIA	153	395	29	15	787	692	62	317	24	284	169	373	32	20	740	693	49	306	20	266
LACLO	726	1142	46	42	1271	2178	109	467	60	413	791	1142	46	41	1109	2249	93	454	33	300
SOIBADA	89	356	34	16	791	499	67	402	29	289	104	351	32	12	791	526	69	378	19	298
BARIQUE/NATARBORA	88	572	34	14	1537	789	85	460	76	835	124	632	39	12	1162	949	51	416	31	522
LACLUBAR	540	2383	71	26	1881	3030	158	673	42	998	679	2669	52	14	1596	3459	130	601	29	791
OECUSSI	13474	2074	1626	273	8528	16422	628	3636	291	4998	15897	1419	2085	251	7142	18282	464	3887	246	3915
PANTEMACASAR	5939	1325	811	176	6168	7948	386	2332	183	3570	7106	990	1036	152	5226	8819	302	2421	172	2796
NITIBE	3132	219	303	35	948	3476	80	549	67	465	3535	101	398	43	719	3764	50	582	33	367
OESILO	2332	351	339	35	920	2727	111	506	21	612	2702	241	453	36	791	3028	73	595	22	505
PASSABE	2071	179	173	27	492	2271	51	249	20	351	2554	87	198	20	406	2671	39	289	19	247
VIQUEQUE	4552	8009	762	284	15669	14756	1008	6038	444	7030	5953	9194	721	287	13664	17517	903	5543	403	5453
UATUCARBAU	434	762	116	15	1642	1453	85	546	25	860	578	837	128	22	1586	1734	77	568	22	750
OSSU	1800	1185	156	74	3042	3168	311	895	71	1812	2286	1351	160	67	2764	3908	297	881	67	1475
WATULARI	1458	1517	305	75	3750	3499	200	2019	65	1322	2002	1691	262	70	3280	4290	134	1871	56	954
VIQUEQUE	642	3490	140	100	6043	5182	336	2044	262	2591	824	4037	133	115	5145	5869	344	1823	241	1977
LACLUTA	218	1055	45	20	1192	1454	76	534	21	445	263	1278	38	13	889	1716	51	400	17	297
